City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Henties Bay,NA,-22.116,14.2845,69.85,89,51,5.64,broken clouds
80,Quelimane,MZ,-17.8786,36.8883,76.95,100,75,5.01,broken clouds
81,East London,ZA,-33.0153,27.9116,67.14,94,40,4.61,scattered clouds
82,Catalina,US,32.5056,-110.9211,47.08,37,0,8.93,clear sky
83,Bambous Virieux,MU,-20.3428,57.7575,83.21,74,75,13.8,broken clouds
84,Severo-Kurilsk,RU,50.6789,156.125,29.93,83,100,24.09,light snow
85,Atuona,PF,-9.8,-139.0333,78.66,74,4,19.37,clear sky
86,Sibenik,HR,43.7272,15.9058,40.37,92,17,4.63,few clouds
87,Namatanai,PG,-3.6667,152.4333,84.09,68,82,7.85,broken clouds
88,Mayo,US,38.8876,-76.5119,67.19,88,100,3.0,overcast clouds
89,Taicheng,CN,38.731,113.228,30.58,54,100,6.51,overcast clouds
90,Coquimbo,CL,-29.9533,-71.3436,62.33,88,0,3.44,clear sky
91,Penarroya-Pueblonuevo,ES,38.3,-5.2667,48.45,82,18,2.66,few clouds
92,Chitrakonda,IN,18.1167,82.0833,88.72,26,1,3.51,clear sky
93,Smithers,CA,54.7804,-127.1743,41.32,60,75,13.8,broken clouds
94,Gimli,CA,50.6336,-96.9907,-6.57,76,72,4.61,broken clouds
95,Punta Arenas,CL,-53.15,-70.9167,53.71,76,75,5.75,broken clouds
96,Jamestown,US,42.097,-79.2353,36.09,70,100,20.71,snow
97,Saskylakh,RU,71.9167,114.0833,-20.58,90,75,8.08,broken clouds
98,Saldanha,ZA,-33.0117,17.9442,60.85,71,0,5.01,clear sky
99,Quatre Cocos,MU,-20.2078,57.7625,84.09,72,100,21.34,overcast clouds
100,Nsanje,MW,-16.92,35.262,75.47,96,81,3.87,light rain
101,Gigmoto,PH,13.7796,124.39,82.78,71,78,9.66,broken clouds
102,Karratha,AU,-20.7377,116.8463,98.49,36,35,13.06,scattered clouds
103,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.63,100,100,2.89,light rain
104,Yablonovo,RU,50.8523,37.3574,35.46,100,100,14.12,overcast clouds
105,Butaritari,KI,3.0707,172.7902,81.82,74,95,21.25,overcast clouds
106,Swan River,CA,52.1058,-101.2676,-7.71,84,100,8.05,snow
107,Kalmunai,LK,7.4167,81.8167,82.49,71,66,8.46,broken clouds
108,Hermanus,ZA,-34.4187,19.2345,69.91,76,7,15.82,clear sky
109,Chuy,UY,-33.6971,-53.4616,69.13,78,53,8.9,broken clouds
110,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,47,75,10.0,broken clouds
111,Sakata,JP,38.9167,139.855,39.38,65,75,12.66,broken clouds
112,Manoel Urbano,BR,-8.8389,-69.2597,70.93,99,100,2.46,overcast clouds
113,Naze,JP,28.3667,129.4833,52.72,86,100,23.71,light rain
114,Ancud,CL,-41.8697,-73.8203,47.73,83,0,1.92,clear sky
115,Kaspiysk,RU,42.8816,47.6392,42.98,81,40,4.47,scattered clouds
116,Asau,RO,46.4333,26.4,40.75,81,53,5.3,broken clouds
117,Bandarban,BD,22.1965,92.2262,73.11,16,2,7.63,clear sky
118,Itaituba,BR,-4.2761,-55.9836,71.35,99,98,0.85,overcast clouds
119,Husavik,IS,66.0449,-17.3389,26.51,86,96,5.91,overcast clouds
120,Rayadrug,IN,14.7,76.8667,85.33,25,45,10.92,scattered clouds
121,Kahului,US,20.8947,-156.47,75.85,85,25,5.99,scattered clouds
122,Hilo,US,19.7297,-155.09,71.8,91,75,6.91,light rain
123,Ostrovnoy,RU,68.0531,39.5131,27.91,95,100,18.54,light snow
124,San Jose,US,37.3394,-121.895,56.3,58,0,5.75,clear sky
125,Collie,AU,-33.3667,116.15,99.91,12,2,3.74,clear sky
126,Rawson,AR,-43.3002,-65.1023,69.37,47,0,27.54,clear sky
127,Nagua,DO,19.3832,-69.8474,71.46,88,7,5.08,clear sky
128,Neryungri,RU,56.6709,124.6491,-4.5,89,100,8.55,overcast clouds
129,Majene,ID,-3.5403,118.9707,83.75,68,99,7.74,overcast clouds
130,Palmas Bellas,PA,9.2319,-80.0867,76.91,86,89,6.33,overcast clouds
131,Nyurba,RU,63.2842,118.3319,-10.97,91,95,4.07,overcast clouds
132,Abu Kamal,SY,34.4506,40.9171,59.25,37,93,14.36,overcast clouds
133,Georgetown,MY,5.4112,100.3354,91.33,62,20,9.22,few clouds
134,Katsuura,JP,35.1333,140.3,51.91,34,15,12.95,few clouds
135,Khatanga,RU,71.9667,102.5,-27.63,96,26,3.15,scattered clouds
136,Lompoc,US,34.6391,-120.4579,54.12,75,0,14.0,clear sky
137,Tecoanapa,MX,16.5167,-98.75,76.03,81,0,3.83,clear sky
138,Karimpur,IN,23.9667,88.6167,79.23,21,0,7.63,clear sky
139,Olafsvik,IS,64.8945,-23.7142,29.55,66,96,12.08,overcast clouds
140,Westport,US,41.1415,-73.3579,58.55,94,100,21.0,moderate rain
141,Oga,IT,46.4631,10.347,38.48,53,46,1.7,scattered clouds
142,Tasiilaq,GL,65.6145,-37.6368,20.53,91,100,20.22,snow
143,Ludvika,SE,60.1496,15.1878,26.4,87,42,5.57,scattered clouds
144,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,71.76,98,100,3.02,overcast clouds
145,Yaan,NG,7.3833,8.5667,75.36,58,24,5.14,few clouds
146,Port Hardy,CA,50.6996,-127.4199,44.76,93,100,3.44,overcast clouds
147,Ayna,PE,-12.65,-73.9167,58.32,84,100,2.15,overcast clouds
148,Masakin,TN,35.7292,10.5808,56.66,72,40,3.44,scattered clouds
149,Batagay-Alyta,RU,67.8006,130.4114,-16.56,82,93,2.08,overcast clouds
150,Kortkeros,RU,61.8106,51.5806,32.18,89,99,13.4,overcast clouds
151,Pevek,RU,69.7008,170.3133,-29.7,99,100,3.0,overcast clouds
152,Dikson,RU,73.5069,80.5464,-10.23,87,78,10.4,broken clouds
153,Cockburn Town,TC,21.4612,-71.1419,77.05,76,2,18.81,clear sky
154,San Patricio,US,28.017,-97.5169,50.09,46,5,18.07,clear sky
155,Celestun,MX,20.8667,-90.4,76.08,79,6,13.0,clear sky
156,Alice Springs,AU,-23.7,133.8833,87.35,27,0,14.97,clear sky
157,Bridgend,GB,51.5058,-3.5772,53.67,84,100,25.99,light rain
158,Neftcala,AZ,39.3742,49.2472,46.8,77,100,6.44,overcast clouds
159,Loknya,RU,56.83,30.1467,31.6,83,100,11.56,overcast clouds
160,Camabatela,AO,-8.1881,15.375,62.89,99,100,2.21,overcast clouds
161,Lebu,CL,-37.6167,-73.65,55.6,83,0,16.26,clear sky
162,Turka,UA,49.1541,23.0297,34.79,83,98,13.65,overcast clouds
163,Buraydah,SA,26.326,43.975,55.85,25,25,17.09,scattered clouds
164,Barrow,US,71.2906,-156.7887,-20.99,100,96,2.57,overcast clouds
165,Tevaitoa,PF,-16.7833,-151.5,80.4,73,21,10.47,few clouds
166,Belaya Gora,RU,68.5333,146.4167,-27.81,100,67,1.74,broken clouds
167,Dhidhdhoo,MV,6.8833,73.1,81.01,74,48,7.27,scattered clouds
168,Yulara,AU,-25.2406,130.9889,89.44,22,0,10.36,clear sky
169,Calama,CL,-22.4667,-68.9333,52.29,46,0,4.61,clear sky
170,Nantucket,US,41.2835,-70.0995,55.62,89,100,21.85,light rain
171,Sfantu Gheorghe,RO,45.8667,25.7833,37.65,93,91,16.55,overcast clouds
172,Sitka,US,57.0531,-135.33,38.19,95,100,4.76,overcast clouds
173,Henderson,US,36.0397,-114.9819,52.99,30,0,0.0,clear sky
174,Hamilton,US,39.1834,-84.5333,32.4,89,97,8.99,overcast clouds
175,Yazman,PK,29.1212,71.7446,74.82,18,74,7.61,broken clouds
176,Playa Vicente,MX,17.8333,-95.8167,70.68,91,0,1.72,clear sky
177,Ayan,RU,56.45,138.1667,14.07,65,100,0.63,overcast clouds
178,Cabo San Lucas,MX,22.8909,-109.9124,68.5,76,100,3.85,overcast clouds
